case	comparison	snf_fda-cgc
ACH-000055	ACH-000144	0.980987397
ACH-000055	ACH-000145	0.981560106
ACH-000055	ACH-000147	0.981295629
ACH-000055	ACH-000148	0.980815391
ACH-000055	ACH-000149	0.981017504
ACH-000055	ACH-000159	0.980885505
ACH-000055	ACH-000161	0.980218635
ACH-000055	ACH-000171	0.980058557
ACH-000055	ACH-000174	0.981480443
ACH-000055	ACH-000176	0.979867539
ACH-000055	ACH-000181	0.981584874
ACH-000062	ACH-000001	0.98062142
ACH-000062	ACH-000007	0.97987851
ACH-000062	ACH-000008	0.979985538
ACH-000062	ACH-000009	0.981227676
ACH-000062	ACH-000012	0.98063046
ACH-000062	ACH-000015	0.981602703
ACH-000062	ACH-000023	0.978369381
ACH-000062	ACH-000030	0.980220569
ACH-000062	ACH-000035	0.980882036
